street_id,name,description,category,food_keywords,sido,sigungu,road_addr,jibun_addr,lat,lon,coord_source,length_m,length_source,shop_count,designated_year,org_name,org_tel,data_date
ST017,무안뻘낙지거리,"무안 세발낙지는 갯벌과 황토가 어우러진 환경에서 자라 영양도 좋고 육질이 쫄깃하고 맛이 깊습니다. 무안뻘낙지거리에는 다양한 낙지 요리 전문점이 모여 있어, 낙지탕탕이, 낙지비빔밥, 낙지볶음, 낙지연포탕 등 다채로운 낙지 요리를 맛볼 수 있습니다. 싱싱한 낙지의 풍미를 제대로 느낄 수 있는 곳, 남도의 깊은 맛을 경험하고 싶다면 무안뻘낙지거리로 오세요.",음식,낙지;세발낙지;낙지탕탕이;낙지비빔밥;낙지볶음;낙지연포탕,전남,무안군,전라남도 무안군 무안읍 뻘낙지길·성남1길 일원,,34.98731526,126.4771641,위치검증:A+,0,없음,20.0,2018.0,무안군보건소,,2026-06-18
ST018,벌교 꼬막거리,벌교 꼬막을 대표 메뉴로 한 남도음식거리,음식,꼬막;꼬막정식;꼬막요리,전남,보성군,전라남도 보성군 벌교읍 부근,,34.85167,127.3362,위치검증:A-,0,없음,0,,전라남도,,2026-06-18
ST019,순천 곱창골목,순천 지역 곱창 전문 음식골목,음식,곱창;곱창구이,전남,순천시,전라남도 순천시 남내동 69 부근,,34.9538033,127.4846299,위치검증:A+,0,없음,0,,순천시,,2026-06-18
ST020,순천 웃장국밥거리,웃장 일대 국밥 전문 음식거리,음식,국밥;돼지국밥;수육,전남,순천시,전라남도 순천시 동외동 웃장 일원,,34.9588493,127.4851874,위치검증:A,0,없음,0,,순천시/전라남도,,2026-06-18
ST021,청소골닭구이거리,청소골 닭구이 음식점 밀집 거리,음식,닭구이,전남,순천시,전라남도 순천시 서면 청소골 계곡 부근,,35.0205,127.5075,위치검증:A-,0,없음,0,,순천시,,2026-06-18
ST022,신안 섬뻘낙지 남도음식거리,신안 섬 갯벌 낙지 특화 음식거리,음식,낙지;갯벌낙지;섬뻘낙지,전남,신안군,전라남도 신안군 압해읍 송공항 부근,,34.85,126.2333,위치검증:A+,0,없음,0,,전라남도,,2026-06-18
ST023,국동 장어탕 횟집거리,장어탕 횟집 특화음식,음식,장어탕;장어,전남,여수시,전라남도 여수시 어항단지로 13,,34.725235,127.7128137,위치검증:A,0,없음,8.0,2009.0,전라남도 여수시청,,2026-06-18
ST024,덕양 곱창거리,곱창 막창구이 특화음식,음식,곱창;막창;곱창구이;막창구이,전남,여수시,전라남도 여수시 소라면 하세동길 8-1,,34.7978101813,127.6316832973,위치검증:A,0,없음,14.0,2020.0,전라남도 여수시청,,2026-06-18
ST025,봉산동 게장백반거리,간장게장 양념게장 특화음식,음식,게장백반;간장게장;양념게장;게장,전남,여수시,전라남도 여수시 봉산남4길 12,,34.732763,127.7199388863,위치검증:A,0,없음,11.0,2009.0,전라남도 여수시청,,2026-06-18
ST026,좌수영 음식문화거리,장어탕 서대회 특화음식,음식,서대회;장어탕,전남,여수시,전라남도 여수시 중앙로 72-16,,34.739714,127.735486,위치검증:A,0,없음,35.0,2020.0,전라남도 여수시청,,2026-06-18
ST027,해양공원 해물삼합거리,해물삼합 특화음식,음식,해물삼합,전남,여수시,전라남도 여수시 이순신광장로 137,,34.737881,127.7390644727,위치검증:A,0,없음,61.0,2020.0,전라남도 여수시청,,2026-06-18
ST028,영광 법성포 굴비거리,굴비 식당과 판매점이 있는 거리,음식,굴비;영광굴비;법성포굴비,전남,영광군,전라남도 영광군 법성면 굴비로,,35.359484,126.445767,위치검증:A,0,없음,352.0,2021.0,전라남도 영광군청,,2026-06-18
ST029,기품 독천낙지거리,독천5일시장 인근 낙지·한우 음식거리,음식,낙지;갈낙탕;낙지초무침,전남,영암군,전라남도 영암군 학산면 독천5일시장 부근,,34.72469,126.5674,위치검증:A+,0,없음,0,2025.0,전라남도,,2026-06-18
ST030,완도전복거리,완도를 대표하는 음식점이 모여있는 거리로 주로 생선회 및 전복요리를 판매하고 있으며 완도를 찾은 관광객이 가장 많이 방문하는 음식특화거리임,음식,전복;전복요리;전복코스요리,전남,완도군,전라남도 완도군 완도읍 해변공원로 124번길,,34.324519,126.748446,위치검증:A,0,없음,25.0,2003.0,완도군 문화관광,,2026-06-18
ST031,장성호 미락단지,"장성호 하류의 미락단지는 조선시대부터 민물고기 전문요리가 이어져 왔으며 메기탕, 메기찜, 빠가탕 등이 유명하다",음식,메기탕;메기찜;빠가탕;민물고기,전남,장성군,전라남도 장성군 장성읍 미락단지길,,35.343484,126.816809,위치검증:A,0,없음,13.0,2000.0,전라남도 장성군청,,2026-06-18
ST032,장흥 바지락·키조개 음식거리,장흥 키조개·바지락 중심 음식거리,음식,키조개;바지락;한우삼합,전남,장흥군,전라남도 장흥군 안양면 수문리 수문해수욕장 부근,,34.6505,127.0355,위치검증:A+,0,없음,0,,전라남도,,2026-06-18
ST033,정남진 장흥토요시장 한우특화거리,정남진 장흥토요시장 내 한우 판매·식당 특화구역,음식,한우;장흥한우;한우삼합,전남,장흥군,전라남도 장흥군 장흥읍 토요시장3길 15 부근,,34.6761943,126.9029044,위치검증:A+,0,없음,17.0,,장흥군청,,2026-06-18
ST034,진도서촌 간재미거리,진도읍 쌍정2길·남동1길 일원 간재미 음식거리,음식,간재미;간재미회;간재미무침;간재미매운탕;간재미찜,전남,진도군,전라남도 진도군 진도읍 남동1길 및 쌍정2길 부근,,34.4817848,126.261161,위치검증:A+,0,없음,0,2024.0,진도군/전라남도,,2026-06-18
ST035,함평천지 한우비빔밥 음식테마거리,1900년 초부터 함평 우시장을 중심으로 발달해 온 한우비빔밥을 주메뉴로 한 식당이 밀집되어 있는 거리,음식,한우비빔밥;비빔밥,전남,함평군,전라남도 함평군 함평읍 시장길 부근,,35.0644445,126.5206629,위치검증:A,0,없음,14.0,2014.0,전라남도 함평군청,,2026-06-18
ST036,해남 닭코스요리 남도음식거리,해남 닭 한 마리를 코스로 즐기는 음식거리,음식,닭코스요리;닭회;닭구이;닭백숙,전남,해남군,전라남도 해남군 해남읍 연동리~삼산면 매정리 닭코스요리거리 부근,,34.5498083,126.6175326,위치검증:A+,0,없음,0,,해남군/전라남도,,2026-06-18
